file,timestamp_iso,accelerometers_std_g,missing_value_reason,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,activity_class,activity_counts,activity_intensity,body_position_left,body_position_right,eda_scl_usiemens,met,prv_rmssd_ms,pulse_rate_bpm,respiratory_rate_brpm,sleep_detection_stage,step_counts,temperature_celsius,wearing_detection_percentage,hour,minute
cleaned_2023-12-16.csv,0.0,65.1,34.9,65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,98.9,65.1,95.8,65.1,65.1,65.1,65.0,0.0,0.0
cleaned_2023-12-17.csv,0.0,0.1,99.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,69.7,0.1,76.2,0.1,0.1,0.1,0.1,0.0,0.0
cleaned_2023-12-18.csv,0.0,50.6,49.4,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.7,50.7,50.6,50.6,94.2,50.6,91.1,50.6,50.6,50.6,50.6,0.0,0.0
cleaned_2023-12-19.csv,0.0,2.5,97.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,79.9,2.5,79.0,2.5,2.5,2.5,0.0,0.0,0.0
cleaned_2023-12-20.csv,0.0,36.7,63.3,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,76.7,36.7,80.7,36.7,36.7,36.7,31.6,0.0,0.0
cleaned_2023-12-21.csv,0.0,5.6,94.4,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,80.3,5.6,76.6,5.6,5.6,5.6,3.2,0.0,0.0
cleaned_2023-12-22.csv,0.0,34.9,65.1,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,88.0,34.9,87.1,36.0,34.9,34.9,26.6,0.0,0.0
