timestamp_iso,accelerometers_std_g,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,activity_class,activity_counts,activity_intensity,body_position_left,body_position_right,eda_scl_usiemens,met,pulse_rate_bpm,sleep_detection_stage,step_counts,temperature_celsius,wearing_detection_percentage,hour,minute
2024-04-14 23:47:00+00:00,0.019,385.0,1003.0,518.0,1192.0,generic,60.0,sedentary,sitting_reclining_lying,miscellaneous,0.06,1.05,66.0,0.0,5.0,29.78,100.0,23,47
2024-04-14 23:48:00+00:00,0.036,100.0,646.0,274.0,708.0,generic,125.0,LPA,sitting_reclining_lying,standing,0.04,2.24,70.0,0.0,0.0,29.87,100.0,23,48
2024-04-14 23:49:00+00:00,0.05,459.0,2295.0,805.0,2475.0,generic,98.0,LPA,sitting_reclining_lying,standing,0.01,2.33,73.0,0.0,0.0,29.93,100.0,23,49
2024-04-14 23:50:00+00:00,0.029,615.0,1283.0,632.0,1556.0,generic,82.0,LPA,sitting_reclining_lying,standing,0.02,2.59,64.0,0.0,0.0,30.0,100.0,23,50
2024-04-14 23:51:00+00:00,0.045,269.0,883.0,374.0,995.0,generic,127.0,LPA,sitting_reclining_lying,standing,0.01,1.83,64.0,0.0,6.0,30.11,100.0,23,51
2024-04-14 23:52:00+00:00,0.024,237.0,826.0,312.0,914.0,generic,60.0,LPA,sitting_reclining_lying,miscellaneous,0.07,2.04,69.0,0.0,0.0,30.26,100.0,23,52
2024-04-14 23:53:00+00:00,0.026,192.0,995.0,451.0,1109.0,generic,108.0,sedentary,sitting_reclining_lying,miscellaneous,0.09,1.54,66.0,0.0,0.0,30.2,100.0,23,53
2024-04-14 23:54:00+00:00,0.027,60.0,384.0,99.0,401.0,generic,107.0,LPA,sitting_reclining_lying,standing,0.01,1.64,68.0,0.0,5.0,30.3,100.0,23,54
2024-04-14 23:55:00+00:00,0.046,736.0,2145.0,1440.0,2686.0,generic,99.0,LPA,sitting_reclining_lying,standing,0.11,2.25,63.0,0.0,5.0,30.51,100.0,23,55
2024-04-14 23:56:00+00:00,0.036,40.0,623.0,186.0,651.0,generic,115.0,sedentary,sitting_reclining_lying,standing,0.04,1.35,57.0,0.0,6.0,30.44,100.0,23,56
2024-04-14 23:57:00+00:00,0.03,9.0,261.0,82.0,273.0,generic,101.0,sedentary,sitting_reclining_lying,standing,0.0,1.13,66.0,0.0,6.0,30.49,100.0,23,57
2024-04-14 23:58:00+00:00,0.063,541.0,3456.0,1415.0,3773.0,generic,137.0,LPA,sitting_reclining_lying,standing,0.0,2.84,70.0,0.0,15.0,30.58,100.0,23,58
2024-04-14 23:59:00+00:00,0.107,2732.0,3399.0,3684.0,5708.0,generic,135.0,MPA,standing,standing,0.04,3.97,75.0,0.0,40.0,30.71,100.0,23,59
