timestamp_iso,accelerometers_std_g,missing_value_reason,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,activity_class,activity_counts,activity_intensity,body_position_left,body_position_right,eda_scl_usiemens,met,prv_rmssd_ms,pulse_rate_bpm,respiratory_rate_brpm,step_counts,temperature_celsius,wearing_detection_percentage,hour,minute
2024-04-24 00:32:00+00:00,0.032,,981.0,381.0,1304.0,1675.0,walking,88.0,LPA,standing,sitting_reclining_lying,1.52,1.78,,66.0,,7.0,31.56,100,0,32
2024-04-24 00:33:00+00:00,0.077,,2734.0,2960.0,1735.0,4387.0,generic,85.0,MPA,standing,standing,1.52,5.86,,64.0,,5.0,31.35,100,0,33
2024-04-24 00:34:00+00:00,0.038,,1140.0,1764.0,1194.0,2415.0,walking,56.0,MPA,standing,standing,1.5,3.88,,62.0,,19.0,31.17,100,0,34
2024-04-24 00:35:00+00:00,0.048,,810.0,1084.0,2086.0,2486.0,walking,84.0,LPA,miscellaneous,miscellaneous,1.49,2.73,,67.0,,18.0,31.11,100,0,35
2024-04-24 00:36:00+00:00,0.024,,438.0,184.0,846.0,970.0,walking,72.0,LPA,sitting_reclining_lying,miscellaneous,1.49,1.65,,63.0,,0.0,31.07,100,0,36
2024-04-24 00:37:00+00:00,0.058,,1869.0,1157.0,1937.0,2929.0,generic,72.0,MPA,standing,standing,1.49,3.58,,67.0,,14.0,31.05,100,0,37
2024-04-24 00:38:00+00:00,0.057,,2005.0,1518.0,2454.0,3513.0,generic,95.0,LPA,sitting_reclining_lying,sitting_reclining_lying,1.49,2.22,,103.0,,17.0,30.99,100,0,38
2024-04-24 00:39:00+00:00,0.053,,2419.0,2041.0,2717.0,4171.0,generic,109.0,sedentary,sitting_reclining_lying,sitting_reclining_lying,1.49,1.44,,112.0,,5.0,31.02,100,0,39
2024-04-24 00:40:00+00:00,0.036,,1383.0,1292.0,1477.0,2400.0,generic,92.0,sedentary,miscellaneous,sitting_reclining_lying,1.48,1.36,,89.0,,0.0,31.03,100,0,40
2024-04-24 00:41:00+00:00,0.023,,1135.0,994.0,853.0,1733.0,generic,53.0,sedentary,sitting_reclining_lying,miscellaneous,1.49,1.31,,70.0,,0.0,30.99,100,0,41
2024-04-24 00:42:00+00:00,0.019,,336.0,181.0,676.0,776.0,walking,71.0,sedentary,sitting_reclining_lying,standing,1.47,1.16,,61.0,,5.0,30.89,100,0,42
